"year","country","conditionality","conditions","sanctions","occup","wage","oth","jsr","vol","ref","rep","fail"
2010,"Australia",0.48,0.79,0.29,1,0.666666666666667,0.5,1,0.333333333333333,0.5,0.166666666666667,0.166666666666667
2011,"Australia",0.48,0.79,0.29,1,0.666666666666667,0.5,1,0.333333333333333,0.5,0.166666666666667,0.166666666666667
2012,"Australia",0.48,0.79,0.29,1,0.666666666666667,0.5,1,0.333333333333333,0.5,0.166666666666667,0.166666666666667
1980,"Austria",0.24,0.33,0.17,0,0.166666666666667,0.666666666666667,0.5,0.166666666666667,0.333333333333333,0.166666666666667,0
1981,"Austria",0.24,0.33,0.17,0,0.166666666666667,0.666666666666667,0.5,0.166666666666667,0.333333333333333,0.166666666666667,0
1982,"Austria",0.24,0.33,0.17,0,0.166666666666667,0.666666666666667,0.5,0.166666666666667,0.333333333333333,0.166666666666667,0
1983,"Austria",0.24,0.33,0.17,0,0.166666666666667,0.666666666666667,0.5,0.166666666666667,0.333333333333333,0.166666666666667,0
1984,"Austria",0.24,0.33,0.17,0,0.166666666666667,0.666666666666667,0.5,0.166666666666667,0.333333333333333,0.166666666666667,0
1985,"Austria",0.24,0.33,0.17,0,0.166666666666667,0.666666666666667,0.5,0.166666666666667,0.333333333333333,0.166666666666667,0
1986,"Austria",0.24,0.33,0.17,0,0.166666666666667,0.666666666666667,0.5,0.166666666666667,0.333333333333333,0.166666666666667,0
1987,"Austria",0.24,0.33,0.17,0,0.166666666666667,0.666666666666667,0.5,0.166666666666667,0.333333333333333,0.166666666666667,0
1988,"Austria",0.24,0.33,0.17,0,0.166666666666667,0.666666666666667,0.5,0.166666666666667,0.333333333333333,0.166666666666667,0
1989,"Austria",0.24,0.33,0.17,0,0.166666666666667,0.666666666666667,0.5,0.166666666666667,0.333333333333333,0.166666666666667,0
1990,"Austria",0.24,0.33,0.17,0,0.166666666666667,0.666666666666667,0.5,0.166666666666667,0.333333333333333,0.166666666666667,0
1991,"Austria",0.24,0.33,0.17,0,0.166666666666667,0.666666666666667,0.5,0.166666666666667,0.333333333333333,0.166666666666667,0
1992,"Austria",0.24,0.33,0.17,0,0.166666666666667,0.666666666666667,0.5,0.166666666666667,0.333333333333333,0.166666666666667,0
1993,"Austria",0.39,0.33,0.46,0,0.166666666666667,0.666666666666667,0.5,0.166666666666667,0.333333333333333,0.833333333333333,0.5
1994,"Austria",0.39,0.33,0.46,0,0.166666666666667,0.666666666666667,0.5,0.166666666666667,0.333333333333333,0.833333333333333,0.5
1995,"Austria",0.39,0.33,0.46,0,0.166666666666667,0.666666666666667,0.5,0.166666666666667,0.333333333333333,0.833333333333333,0.5
1996,"Austria",0.41,0.33,0.5,0,0.166666666666667,0.666666666666667,0.5,0.166666666666667,0.5,0.833333333333333,0.5
1997,"Austria",0.41,0.33,0.5,0,0.166666666666667,0.666666666666667,0.5,0.166666666666667,0.5,0.833333333333333,0.5
1998,"Austria",0.41,0.33,0.5,0,0.166666666666667,0.666666666666667,0.5,0.166666666666667,0.5,0.833333333333333,0.5
1999,"Austria",0.41,0.33,0.5,0,0.166666666666667,0.666666666666667,0.5,0.166666666666667,0.5,0.833333333333333,0.5
2000,"Austria",0.41,0.33,0.5,0,0.166666666666667,0.666666666666667,0.5,0.166666666666667,0.5,0.833333333333333,0.5
2001,"Austria",0.43,0.38,0.5,0,0.166666666666667,0.666666666666667,0.666666666666667,0.166666666666667,0.5,0.833333333333333,0.5
2002,"Austria",0.43,0.38,0.5,0,0.166666666666667,0.666666666666667,0.666666666666667,0.166666666666667,0.5,0.833333333333333,0.5
2003,"Austria",0.43,0.38,0.5,0,0.166666666666667,0.666666666666667,0.666666666666667,0.166666666666667,0.5,0.833333333333333,0.5
2004,"Austria",0.58,0.67,0.5,0.666666666666667,0.333333333333333,0.666666666666667,1,0.166666666666667,0.5,0.833333333333333,0.5
2005,"Austria",0.58,0.67,0.5,0.666666666666667,0.333333333333333,0.666666666666667,1,0.166666666666667,0.5,0.833333333333333,0.5
2006,"Austria",0.58,0.67,0.5,0.666666666666667,0.333333333333333,0.666666666666667,1,0.166666666666667,0.5,0.833333333333333,0.5
2007,"Austria",0.58,0.67,0.5,0.666666666666667,0.333333333333333,0.666666666666667,1,0.166666666666667,0.5,0.833333333333333,0.5
2008,"Austria",0.58,0.67,0.5,0.666666666666667,0.333333333333333,0.666666666666667,1,0.166666666666667,0.5,0.833333333333333,0.5
2009,"Austria",0.58,0.67,0.5,0.666666666666667,0.333333333333333,0.666666666666667,1,0.166666666666667,0.5,0.833333333333333,0.5
2010,"Austria",0.58,0.67,0.5,0.666666666666667,0.333333333333333,0.666666666666667,1,0.166666666666667,0.5,0.833333333333333,0.5
2011,"Austria",0.54,0.58,0.5,0.666666666666667,0,0.666666666666667,1,0.166666666666667,0.5,0.833333333333333,0.5
2012,"Austria",0.54,0.58,0.5,0.666666666666667,0,0.666666666666667,1,0.166666666666667,0.5,0.833333333333333,0.5
1980,"Belgium",0.52,0.54,0.5,0.666666666666667,0.833333333333333,0.666666666666667,0,0.666666666666667,0.666666666666667,0.666666666666667,0
1981,"Belgium",0.52,0.54,0.5,0.666666666666667,0.833333333333333,0.666666666666667,0,0.666666666666667,0.666666666666667,0.666666666666667,0
1982,"Belgium",0.52,0.54,0.5,0.666666666666667,0.833333333333333,0.666666666666667,0,0.666666666666667,0.666666666666667,0.666666666666667,0
1983,"Belgium",0.52,0.54,0.5,0.666666666666667,0.833333333333333,0.666666666666667,0,0.666666666666667,0.666666666666667,0.666666666666667,0
1984,"Belgium",0.52,0.54,0.5,0.666666666666667,0.833333333333333,0.666666666666667,0,0.666666666666667,0.666666666666667,0.666666666666667,0
1985,"Belgium",0.52,0.54,0.5,0.666666666666667,0.833333333333333,0.666666666666667,0,0.666666666666667,0.666666666666667,0.666666666666667,0
1986,"Belgium",0.52,0.54,0.5,0.666666666666667,0.833333333333333,0.666666666666667,0,0.666666666666667,0.666666666666667,0.666666666666667,0
1987,"Belgium",0.52,0.54,0.5,0.666666666666667,0.833333333333333,0.666666666666667,0,0.666666666666667,0.666666666666667,0.666666666666667,0
1988,"Belgium",0.52,0.54,0.5,0.666666666666667,0.833333333333333,0.666666666666667,0,0.666666666666667,0.666666666666667,0.666666666666667,0
1989,"Belgium",0.52,0.54,0.5,0.666666666666667,0.833333333333333,0.666666666666667,0,0.666666666666667,0.666666666666667,0.666666666666667,0
1990,"Belgium",0.52,0.54,0.5,0.666666666666667,0.833333333333333,0.666666666666667,0,0.666666666666667,0.666666666666667,0.666666666666667,0
1991,"Belgium",0.5,0.38,0.67,0.5,0.333333333333333,0.666666666666667,0,0.833333333333333,0.833333333333333,1,0
1992,"Belgium",0.53,0.42,0.67,0.5,0.333333333333333,0.666666666666667,0.166666666666667,0.833333333333333,0.833333333333333,1,0
1993,"Belgium",0.53,0.42,0.67,0.5,0.333333333333333,0.666666666666667,0.166666666666667,0.833333333333333,0.833333333333333,1,0
